drug,sideeffects
tasimelteon,"Headache, Alanine aminotransferase increased, Upper respiratory tract infection, Urinary tract infection, Abnormal dreams"
tazarotene,"Haemorrhage, Application site dryness, Burning sensation, Sensitisation, Application site erythema"
technetium-99m,"Asthenia, Breast pain, Hypotension, Diarrhoea, Injection site irritation"
teduglutide,"Gastrointestinal disorder, Injection site pain, Night sweats, Dizziness, Syncope"
tegaserod,"Anorectal discomfort, Fungal infection, Urinary tract disorder, Appendicitis, Gastrooesophageal reflux disease"
telavancin,"Pollakiuria, Cardiac disorder, Hypoglycaemia, Mediastinal disorder, Asthenia"
telithromycin,"Polyuria, Diarrhoea, Thrombocytosis, Chromaturia, Oral candidiasis"
telmisartan,"Blood creatinine increased, Influenza like illness, Oedema peripheral, Muscle spasms, Sciatica"
temazepam,"Thrombocytopenia, Hostility, Osteoarthritis, Abnormal dreams, Palpitations"
temozolomide,"Neuropathy peripheral, Connective tissue disorder, Urethral disorder, Malaise, Alopecia"
temsirolimus,"Weight decreased, Hypophosphataemia, Rash pustular, Blood glucose increased, Folliculitis"
teniposide,"Acute leukaemia, Gastrointestinal pain, Headache, Bronchospasm, Vomiting"
tenofovir,"Musculoskeletal discomfort, Fanconi syndrome, Immune system disorder, Abdominal pain, Neuropathy peripheral"
tenoxicam,"Nervous system disorder, Anaphylactic shock, Colitis, Nausea, Stomatitis"
terazosin,"Ill-defined disorder, Priapism, Laryngospasm, Rash, Pain in extremity"
terbinafine,"Decreased appetite, Tinnitus, Blood disorder, Skin disorder, Dermatitis"
terbutaline,"Chest discomfort, Headache, Muscle spasms, Nervousness, Chest pain"
terconazole,"Musculoskeletal discomfort, Pain, Headache, Abdominal pain, Face oedema"
tesamorelin,"Gastrointestinal disorder, Abdominal pain upper, Blood creatine phosphokinase increased, Night sweats, Connective tissue disorder"
testolactone,"Blood pressure increased, Nausea, Oedema, Discomfort, Decreased appetite"
testosterone,"Blood glucose increased, Hypogonadism, Nipple pain, Vomiting, Haematuria"
tetrabenazine,"Memory impairment, Osteoarthritis, Photophobia, Disorientation, Constipation"
tetracaine,"Oedema, Agitation, Nervousness, Vision blurred, Dizziness"
tetracycline,"Fontanelle bulging, Arthralgia, Serum sickness, Glossitis, Eosinophilia"
tetraen,"Decreased appetite, Cardiac disorder, Eructation, Dyspepsia, Rash"
tetrahydrobiopterin,"Gastrointestinal disorder, Rhinorrhoea, Diarrhoea, Acute coronary syndrome, Irritability"
tetrahydrozoline,"Insomnia, Swelling, Headache, Rhinitis, Somnolence"
tetrofosmin,"Lung disorder, Torsade de pointes, Loss of consciousness, Nausea, Hypertension"
thalidomide,"Leukaemia, Erectile dysfunction, Weight decreased, Atrioventricular block, Tooth disorder"
theophylline,"Convulsion, Haemodynamic instability, Decreased appetite, Vomiting, Abdominal pain upper"
thiabendazole,"Xanthopsia, Enuresis, Tinnitus, Asthenia, Dyspepsia"
thiamine,"Asthenia, Pulmonary oedema, Nausea, Urticaria, Haemorrhage"
thiazide,"Haemolytic anaemia, Aplastic anaemia, Rash, Stevens-Johnson syndrome, Decreased appetite"
thioridazine,"Torticollis, Oedema, Menstruation irregular, Photosensitivity reaction, Confusional state"
thiosulfate,"Headache, Hypotension, Coagulopathy, Vomiting, Dysgeusia"
thiotepa,"Blood alkaline phosphatase increased, Musculoskeletal discomfort, Mental disorder, Cystitis, Amylase increased"
thiothixene,"Ileus paralytic, Hyperpyrexia, Hyperhidrosis, Hyperprolactinaemia, Psychotic disorder"
thymidine,"Myositis, Myalgia, Hepatitis, Ill-defined disorder, Sinus headache"
thyroxine,"Angina pectoris, Musculoskeletal discomfort, Body temperature increased, Palpitations, Hyperhidrosis"
tiagabine,"Diplopia, Acute coronary syndrome, Fatigue, Urticaria, Oesophagitis"
tiaprofenic,"Rash, Bladder pain, Dermatitis, Hot flush, Purpura"
tibolone,"Myalgia, Migraine, Genital discharge, Pulmonary embolism, Skin disorder"
ticagrelor,"Skin haemorrhage, Blood uric acid increased, Vertigo, Renal failure acute, Cerebral haemorrhage"
ticlopidine,"Blood cholesterol increased, Dizziness, Musculoskeletal discomfort, Hepatitis, Gastrointestinal pain"
tigecycline,"Injection site inflammation, Hypoproteinaemia, Hyperphosphataemia, Neutropenia, Feeling abnormal"
tiludronate,"Asthenia, Bone pain, Back pain, Abdominal pain, Congenital anomaly"
timolol,"Erythema, Mental disorder, Chest pain, Systemic lupus erythematosus, Nervousness"
tinidazole,"Arthralgia, Hyperhidrosis, Vaginal odour, Flushing, Musculoskeletal discomfort"
tiopronin,"Abdominal distension, Lymphadenopathy, Dermatitis, Haemorrhage, Body temperature increased"
tiotropium,"Candida infection, Arrhythmia, Application site irritation, Urethral disorder, Rash"
tipranavir,"Retching, Facial wasting, Dyspepsia, Mediastinal disorder, Bronchitis"
tirofiban,"Pericardial haemorrhage, Acute myocardial infarction, Chills, Haemorrhage intracranial, Spinal epidural haematoma"
tizanidine,"Haematemesis, Albuminuria, Uterine leiomyoma, Suicide attempt, Sepsis"
tobramycin,"Tinnitus, Ill-defined disorder, Instillation site pain, Thrombocytopenia, Rash"
tofacitinib,"Low density lipoprotein increased, Rash, High density lipoprotein increased, Diarrhoea, Blood creatinine increased"
tolazamide,"Dizziness, Haemolytic anaemia, Gastrointestinal disorder, Dyspepsia, Aplastic anaemia"
tolbutamide,"Hyponatraemia, Haemolytic anaemia, Alcohol intolerance, Pruritus, Thrombocytopenia"
tolcapone,"Dry mouth, Chest pain, Vaginal inflammation, Hyperhidrosis, Binge eating"
tolmetin,"Serum sickness, Vomiting, Gastrointestinal haemorrhage, Headache, Agranulocytosis"
tolterodine,"Constipation, Angioedema, Oedema, Anxiety, Tachycardia"
tolvaptan,"Diarrhoea, Respiratory failure, Ill-defined disorder, Loss of consciousness, Malnutrition"
topiramate,"Respiratory alkalosis, Gingivitis, Panic reaction, Accommodation disorder, Phlebitis"
topotecan,"Infestation, Mediastinal disorder, Angiopathy, Thrombocytopenia, Arthralgia"
torasemide,"Erythema multiforme, Chest pain, Musculoskeletal discomfort, Shunt thrombosis, Hypovolaemia"
toremifene,"Lethargy, Oestrogenic effect, Dermatitis, Headache, Thrombophlebitis"
trabectedin,"Dizziness, Neutropenic infection, Haemorrhage, Stomatitis, Blood creatine phosphokinase increased"
tramadol,"Faeces discoloured, Muscle contractions involuntary, Asthma, Rectal haemorrhage, Endocrine disorder"
tramazoline,"Oedema, Fatigue, Epistaxis, Insomnia, Pruritus"
trametinib,"Thrombocytopenia, Lymphopenia, Cardiomyopathy, Haemorrhoidal haemorrhage, Actinic keratosis"
trandolapril,"Pemphigus, Red blood cell sedimentation rate increased, Anxiety, Infestation, Urethral disorder"
trandolaprilat,"Intermittent claudication, Paraesthesia, Constipation, Loss of consciousness, Erectile dysfunction"
tranexamic,"Hypotension, Venous thrombosis, Aneurysm, Myalgia, Multiple allergies"
trans,"Myalgia, Haemoglobin, Nephritis, Myocardial rupture, Urticaria"
tranylcypromine,"Amnesia, Hyperhidrosis, Loss of consciousness, Oedema, Tachycardia"
travoprost,"Anterior chamber flare, Myalgia, Scleral hyperaemia, Asthma, Eyelash thickening"
trazodone,"Myocardial infarction, Flushing, Headache, Tardive dyskinesia, Haemorrhagic disorder"
treprostinil,"Paraesthesia, Infection, Anaemia, Haematoma, Laryngeal pain"
triamcinolone,"Mood swings, Musculoskeletal discomfort, Fat embolism, Monoplegia, Lacrimation increased"
triamterene,"Nausea, Tubulointerstitial nephritis, Hypokalaemia, Hyperkalaemia, Vomiting"
triazolam,"Hepatic failure, Confusional state, Vomiting, Decreased appetite, Dyspnoea"
triclosan,Hypersensitivity
trien,"Myasthenia gravis, Muscle spasms, Gastrointestinal pain, Musculoskeletal discomfort, Ulcer"
trifluoperazine,"Feeling jittery, Menstruation irregular, Lupus-like syndrome, Body temperature increased, Priapism"
trifluorothymidine,"Dry eye, Vision blurred, Nausea, Intraocular pressure increased, Punctate keratitis"
trihexyphenidyl,"Vision blurred, Tension, Cycloplegia, Agitation, Dermatitis"
triiodothyronine,"Angina pectoris, Hypotension, Body temperature increased, Acute coronary syndrome, Hypertension"
trimethadione,"Somnolence, Systemic lupus erythematosus, Hypoplastic anaemia, Epistaxis, Gastrointestinal pain"
trimethobenzamide,"Somnolence, Sensitisation, Opisthotonus, Hypotension, Muscle spasms"
trimethoprim,"Dermatitis, Leukocytoclastic vasculitis, Gastrointestinal disorder, Pseudomembranous colitis, Abnormal behaviour"
trimethoprim-sulfamethoxazole,"Leukopenia, Malnutrition, Hallucination, Myalgia, Pseudomembranous colitis"
trimetrexate,"Thrombocytopenia, Hypocalcaemia, Electrolyte imbalance, Confusional state, Blood alkaline phosphatase increased"
trimipramine,"Hypotension, Oropharyngeal pain, Convulsion, Testicular swelling, Mydriasis"
tris,"Fluid overload, Infection, Respiratory depression, Pulmonary function test decreased, Body temperature increased"
troglitazone,"Hepatitis, Body temperature increased, Malaise, Nausea, Feeling abnormal"
tropicamide,"Flushing, Photophobia, Dysphagia, Nausea, Anaphylactic shock"
tropisetron,"Flushing, Shock, Urticaria, Loss of consciousness, Immune system disorder"
trospium,"Dizziness, Dyspepsia, Abdominal pain upper, Gastritis, Accommodation disorder"
trovafloxacin,"Epistaxis, Erectile dysfunction, Myalgia, Fatigue, Thrombophlebitis"
ulipristal,"Skin disorder, Abdominal pain, Acne, Asthenia, Abdominal pain upper"
umeclidinium,"Tachycardia, Sinusitis, Neck pain, Dyspepsia, Musculoskeletal discomfort"
unoprostone,"Dry eye, Eye pain, Visual impairment, Eyelid disorder, Corneal oedema"
ustekinumab,"Gastrointestinal disorder, Dermatitis, Nasopharyngitis, Swelling, Oropharyngeal pain"
v,"Gingival disorder, Muscle contractions involuntary, Skin infection, Hallucination, Fluid retention"
valdecoxib,"Atrial fibrillation, Thrombophlebitis, Dysmenorrhoea, Prostate cancer, Lymphadenopathy"
valganciclovir,"Haematuria, Oedema, Emotional disorder, Gastrointestinal haemorrhage, Dysgeusia"
valproate,"Rhinitis, Hearing impaired, Ataxia, Aggression, Tardive dyskinesia"
valrubicin,"Ageusia, Pruritus, Body temperature increased, Asthenia, Urethritis"
valsartan,"Blood potassium increased, Flatulence, Headache, Blood creatinine increased, Cardiac disorder"
vandetanib,"Photosensitivity reaction, Intestinal perforation, Haematuria, Pneumonia aspiration, Bronchospasm"
vardenafil,"Breast disorder, Somnolence, Blood creatinine increased, Dysaesthesia, Ejaculation disorder"
varenicline,"Urethral syndrome, Laryngeal pain, Myopia, Hyperlipidaemia, Tenderness"
vasopressin,"Urticaria, Shock, Polyuria, Polyuria, Gangrene"
vecuronium,"Erythema, Delayed recovery from anaesthesia, Immune system disorder, Bronchospasm, Hypersensitivity"
vemurafenib,"Vomiting, Photosensitivity reaction, Erythema multiforme, Chronic myelomonocytic leukaemia, Gamma-glutamyltransferase increased"
venlafaxine,"Blood urea increased, Feeling abnormal, Abdominal pain, Delusion, Muscle spasms"
verapamil,"Musculoskeletal discomfort, Gingival hyperplasia, Depressive symptom, Dry mouth, Dermatitis"
vernakalant,"Presyncope, Somnolence, Hot flush, Feeling hot, Dyspnoea"
verteporfin,"Retinal haemorrhage, Blood creatinine increased, Photosensitivity reaction, Sunburn, Visual acuity reduced"
vigabatrin,"Croup infectious, Vascular purpura, Developmental delay, Fatigue, Amnesia"
vilazodone,"Arthralgia, Palpitations, Ventricular extrasystoles, Mental disorder, Skin disorder"
vildagliptin,"Flatulence, Musculoskeletal discomfort, Hepatobiliary disease, Connective tissue disorder, Hepatic function abnormal"
vinblastine,"Alopecia, Gastrointestinal pain, Ill-defined disorder, Enterocolitis haemorrhagic, Acute coronary syndrome"
vincristine,"Alopecia, Pain in extremity, Insomnia, Paresis, Vomiting"
vinflunine,"Stomatitis, Dysphonia, Peripheral sensory neuropathy, Ischaemia, Renal failure"
vinorelbine,"Pain in jaw, Thrombocytopenia, Deep vein thrombosis, Mediastinal disorder, Recall phenomenon"
vismodegib,"Hyponatraemia, Asthenia, Dyspepsia, Ageusia, Constipation"
vitamin,"Pulse pressure decreased, Cyanosis, Asthenia, Nocturia, Swelling"
vorapaxar,"Anaemia, Haemoglobin, Dermatitis, Haemorrhage intracranial, Diplopia"
voriconazole,"Dermatitis atopic, Haematemesis, Aspartate aminotransferase increased, Cardiac arrest, Eczema"
vorinostat,"Neoplasm malignant, Dry mouth, Decreased appetite, Weight decreased, Chest pain"
warfarin,"Asthenia, Epistaxis, Dermatitis, Rectal haemorrhage, Urticaria"
x,"Urticaria, Immune system disorder, Blood lactate dehydrogenase increased, Sickle cell anaemia with crisis, Bone pain"
yttrium,Neoplasm malignant
zafirlukast,"Dermatitis, Hepatic function abnormal, Arthralgia, Oropharyngeal discomfort, Sensory loss"
zalcitabine,"Skin disorder, Night sweats, Dysphonia, Flatulence, Neck pain"
zaleplon,"Hostility, Menorrhagia, Tachycardia, Tenosynovitis, Cheilitis"
zanamivir,"Oropharyngeal swelling, Haemoglobin, Diarrhoea, Abdominal pain, Dizziness"
ziconotide,"Tinnitus, Depressed level of consciousness, Headache, Walking disability, Photophobia"
zidovudine,"Foetor hepaticus, Muscle twitching, Liver disorder, Chills, Aspartate aminotransferase increased"
zidovudine/lamivudine,"Lymphadenopathy, Malaise, Paraesthesia, Lactic acidosis, Rectal haemorrhage"
zileuton,"Liver injury, Muscle rigidity, Feeling abnormal, Lymphadenopathy, Vomiting"
zinc,"Pancreatitis, Epigastric discomfort, Nausea, Epigastric discomfort"
ziprasidone,"Hyperthyroidism, Menorrhagia, Ventricular septal defect, Hypersensitivity, Myoglobinuria"
zoledronic,"Malnutrition, Shock, Abdominal pain upper, Electrolyte imbalance, Asthma"
zolmitriptan,"Vaginal infection, Pain, Paraesthesia, Skin disorder, Dysgeusia"
zolpidem,"Pharyngitis, Fibroadenoma of breast, Psychomotor retardation, Mental disability, Visual impairment"
zonisamide,"Aplastic anaemia, Cholangitis, Depressed level of consciousness, Atrial fibrillation, Decreased appetite"
zopiclone,"Hostility, Mastitis, Weight increased, Euphoric mood, Urticaria"
zuclopenthixol,"Polyuria, Purpura non-thrombocytopenic, Disturbance in attention, Feeling cold, Gastrointestinal disorder"
